freq,Awake_DP,Awake_NFd,Sed_DP_11.36,Sed_NF_11.36,Sed_DP_12.15,Sed_NF_12.15,Sed_DP_12.53,Sed_NF_12.53,Sed_DP_13.13,Sed_NF_13.13,Awake_SF,Awake_NFs,Sed_SF_11.43,Sed_NF_11.43,Sed_SF_12.23,Sed_NF_12.23,Sed_SF_13.02,Sed_NF_13.02,Sed_SF_13.39,Sed_NF_13.39,Awake_phase,Sed_phase_11.43,Sed_phase_12.23,Sed_phase_13.02,Sed_phase_13.39
1.345900193,24.98083176,-21.44019238,31.11999126,-12.77325437,31.87987834,-17.77935157,29.71087171,-21.64866552,31.84777677,-21.92240132,2.889115105,-26.13311932,9.438840673,-26.36214245,10.05119905,-45.37323601,9.459107249,-18.1647893,10.92268128,-21.58848784,-0.611878238,-0.620801611,-0.621992897,-0.616856687,-0.599561003
1.355059466,25.1037588,-20.22269452,31.28245014,-12.88161352,32.04320332,-16.34784159,29.92674611,-19.85311313,32.01307829,-22.95398864,2.799450469,-24.11414716,9.481076281,-29.42916769,10.17940401,-34.19320999,9.489793523,-17.9688872,10.87660623,-22.73002549,-0.622214275,-0.62920515,-0.630295274,-0.631339156,-0.609327789
1.36428107,25.22189542,-19.65367097,31.44252738,-13.36744717,32.2039217,-15.42670536,30.14292199,-18.59168376,32.17683139,-23.38077125,2.641623159,-20.81897143,9.637244234,-34.16926311,10.41775948,-29.42248779,9.680627769,-15.72216192,10.95453158,-23.79253953,-0.63289385,-0.637415069,-0.638250716,-0.645449649,-0.619054429
1.373565431,25.33391399,-19.70459067,31.59947727,-14.22185019,32.36107724,-14.96513066,30.35732723,-17.90319617,32.33779098,-22.37146712,2.596019728,-22.28026687,9.884187895,-34.30890945,10.6193053,-31.15434732,9.713197372,-17.46396467,11.02185405,-22.38261226,-0.644578726,-0.648231026,-0.649934715,-0.656717135,-0.630508802
1.382912975,25.40727044,-20.45763067,31.5607031,-15.55206494,32.32202301,-15.12497428,30.37599307,-17.70004845,32.30291346,-20.61113521,2.701653732,-25.25481383,10.17016184,-30.31837342,10.80905124,-39.31333111,9.626959958,-22.98577401,11.07664043,-20.25304538,-0.657193317,-0.660106363,-0.663529134,-0.667083297,-0.643064463
1.392324131,25.40523415,-22.10165382,31.19589608,-17.31326765,31.95650696,-16.04862612,30.06729681,-17.75553574,31.94156161,-19.22821617,3.073710436,-23.02858686,10.28817041,-27.23076557,10.84959214,-44.20213559,9.366193368,-23.82418388,10.97631247,-18.52528265,-0.670306515,-0.671440436,-0.676766269,-0.677871989,-0.65568554
1.401799334,25.38753851,-24.94539367,30.91670981,-18.90386789,31.67626342,-17.40119412,29.84230021,-17.42746706,31.66528246,-18.25535247,3.47230189,-19.93084294,10.40397599,-25.14818605,10.90283349,-34.06677997,9.14633138,-19.10902389,10.89636714,-17.38331581,-0.68390219,-0.682517951,-0.689553796,-0.688984399,-0.668206142
1.411339018,25.35407875,-29.81984517,30.72207626,-20.23241115,31.48029669,-19.31306823,29.69942641,-16.76055623,31.47312026,-17.81111597,3.684134405,-24.13756594,10.44125645,-25.32315204,10.8443484,-37.81836954,9.174606091,-22.02181799,10.76938254,-18.65513986,-0.698988739,-0.696354511,-0.702812564,-0.70005589,-0.680829262
1.420943622,25.37726061,-35.55968973,30.560896,-21.41113752,31.31754265,-22.00070273,29.58758176,-16.01958359,31.31431594,-17.96861734,3.857341138,-28.67645499,10.69891387,-24.64288884,11.00220548,-31.35223897,9.400205353,-18.14087759,10.85248944,-18.76283392,-0.714219139,-0.710046267,-0.71623206,-0.71106362,-0.693818292
1.430613589,25.49610522,-30.23213336,30.31028645,-22.72522382,31.06517018,-25.74738117,29.38403712,-15.53392695,31.06646959,-18.88251792,4.049997886,-25.6272979,11.02720313,-23.40826301,11.23097746,-26.75745201,9.675481487,-14.00321019,11.00312997,-17.60598815,-0.729317251,-0.723398536,-0.72962334,-0.721904463,-0.7070107
